Medial Malleolus,6.94,-169.24,27.23,1
Fibular Notch,-18.57,-158.34,4.27,483
Medial Epicondyle,33.07,158.98,3.96,8962
Lateral Epicondyle,-39.66,159.85,-18.29,9085
Tuberosity,-19.3,125.01,25.85,7154
Most Proximal Point,-0.47,172.24,-17.72,9997
Medial Condyle,15.4,150.22,-32.13,9054
Lateral Condyle,-21.46,158.03,-32.94,9456
